,Peptidergic_neuron,NP_neuron,LTMR_Abeta,LTMR_Adelta,C_LTMR,Satellite_glia,Schwann_cell,Macrophage,Endothelial_cell
Adgre1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
Aif1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Apoe,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
Calca,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cd68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
Cdh5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
Csf1r,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
Cx3cr1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
Esam,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Fabp7,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
Gfap,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Gfra2,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
Il31ra,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Kdr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
Lpar3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mbp,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
Mpz,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
Mrgpra3,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mrgprd,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ncam1,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
Nefh,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
Nppb,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
Ntrk1,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ntrk2,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
Ntrk3,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
P2rx3,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pecam1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
Piezo2,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Plp1,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
Prx,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
Pvalb,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
Ret,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
S100b,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Scn10a,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sox10,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
Spp1,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
Sst,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Tac1,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tek,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Th,0.0,0.0,0.0,4.0,5.0,0.0,0.0,0.0,0.0
Tmem45b,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trpv1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vip,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
