,Excitatory_neuron,Inhibitory_neuron,Astrocyte,Microglia,Oligodendrocyte,OPC,Endothelial_cell,Pericyte
Acta2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
Aldh1l1,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
Aqp4,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
Camk2a,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cdh5,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
Cldn5,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
Cnp,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
Cspg4,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0
Cx3cr1,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
Gad1,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
Gad2,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
Gfap,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
Glrb,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Grin2b,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hexb,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Kcnj8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Kdr,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
Maf,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Mbp,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
Mog,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
Nkx2-2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Nrxn1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Olig2,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
P2ry12,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
Pax2,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
Pdgfra,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
Pdgfrb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
Pecam1,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
Plp1,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
Rgs5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
Sall1,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Slc17a6,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Slc17a8,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Slc1a3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Slc32a1,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Sox10,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
Sox9,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
Tie1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Tmem119,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
