peak_id,Control_1,Control_2,Control_3,Treated_1,Treated_2,Treated_3
chr1:1000-1250,35,15,58,99,117,50
chr1:1500-1750,67,36,91,101,103,81
chr1:2000-2250,24,89,44,119,93,108
chr1:2500-2750,65,67,63,213,145,191
chr1:3000-3250,41,105,45,132,114,140
chr1:3500-3750,116,54,52,84,249,175
chr1:4000-4250,85,71,83,66,167,147
chr1:4500-4750,171,56,51,335,97,233
chr1:5000-5250,92,111,78,66,197,149
chr1:5500-5750,179,110,126,236,129,177
chr1:6000-6250,110,155,219,213,277,303
chr1:6500-6750,87,111,91,232,215,245
chr1:7000-7250,81,35,52,156,91,155
chr1:7500-7750,60,41,56,76,42,105
chr1:8000-8250,60,50,71,150,142,96
chr1:8500-8750,58,55,38,115,158,78
chr1:9000-9250,42,27,70,186,173,68
chr1:9500-9750,107,73,139,136,138,207
chr1:10000-10250,50,55,62,169,191,131
chr1:10500-10750,138,74,98,169,159,134
chr1:11000-11250,40,161,63,102,118,217
chr1:11500-11750,93,126,66,444,228,114
chr1:12000-12250,109,121,137,402,281,70
chr1:12500-12750,30,54,85,78,164,80
chr1:13000-13250,16,43,37,89,81,131
chr1:13500-13750,75,54,72,52,103,79
chr1:14000-14250,73,74,57,114,151,107
chr1:14500-14750,55,69,23,136,95,221
chr1:15000-15250,49,82,111,147,146,114
chr1:15500-15750,121,135,103,194,112,129
chr1:16000-16250,77,66,83,32,86,16
chr1:16500-16750,137,123,54,57,36,39
chr1:17000-17250,49,80,93,63,64,86
chr1:17500-17750,161,106,71,38,69,71
chr1:18000-18250,123,165,111,75,76,46
chr1:18500-18750,25,32,57,28,17,30
chr1:19000-19250,93,39,48,33,19,23
chr1:19500-19750,37,69,50,28,38,13
chr1:20000-20250,44,62,31,62,12,36
chr1:20500-20750,46,59,116,28,35,45
chr1:21000-21250,43,72,36,24,15,27
chr1:21500-21750,79,107,127,52,23,70
chr1:22000-22250,118,103,99,28,46,17
chr1:22500-22750,58,86,170,18,59,32
chr1:23000-23250,45,129,104,28,52,53
chr1:23500-23750,65,56,53,63,128,76
chr1:24000-24250,27,29,62,17,26,28
chr1:24500-24750,38,69,9,38,23,46
chr1:25000-25250,42,56,38,15,14,27
chr1:25500-25750,27,118,83,39,20,25
chr1:26000-26250,78,38,24,32,33,37
chr1:26500-26750,87,112,32,20,70,30
chr1:27000-27250,122,76,31,31,38,86
chr1:27500-27750,41,138,43,59,42,35
chr1:28000-28250,108,115,168,44,50,18
chr1:28500-28750,136,67,114,17,46,65
chr1:29000-29250,95,112,82,49,47,91
chr1:29500-29750,220,129,156,57,50,69
chr1:30000-30250,34,52,42,35,32,18
chr1:30500-30750,68,62,39,19,24,33
chr2:1000-1250,38,85,36,29,103,38
chr2:1500-1750,42,68,57,85,107,49
chr2:2000-2250,74,38,62,26,80,64
chr2:2500-2750,88,75,36,62,95,120
chr2:3000-3250,103,112,67,77,93,106
chr2:3500-3750,163,63,73,122,112,125
chr2:4000-4250,67,107,71,86,73,84
chr2:4500-4750,129,122,103,138,171,122
chr2:5000-5250,57,69,176,185,118,108
chr2:5500-5750,22,24,29,10,78,45
chr2:6000-6250,24,39,79,26,66,66
chr2:6500-6750,57,50,59,43,76,35
chr2:7000-7250,90,93,137,76,26,35
chr2:7500-7750,70,85,102,49,98,45
chr2:8000-8250,82,57,94,101,42,31
chr2:8500-8750,73,88,73,100,149,82
chr2:9000-9250,56,75,97,113,83,114
chr2:9500-9750,81,96,63,58,125,83
chr2:10000-10250,63,83,93,58,111,131
chr2:10500-10750,117,154,81,151,75,78
chr2:11000-11250,21,37,43,35,59,38
chr2:11500-11750,14,55,41,32,22,11
chr2:12000-12250,43,72,50,47,60,39
chr2:12500-12750,82,60,55,81,94,73
chr2:13000-13250,71,68,27,31,62,59
chr2:13500-13750,43,50,70,56,45,155
chr2:14000-14250,71,44,89,96,96,102
chr2:14500-14750,86,81,47,117,45,100
chr2:15000-15250,91,104,35,100,81,101
chr2:15500-15750,47,94,55,132,127,51
chr2:16000-16250,56,149,136,101,145,109
chr2:16500-16750,99,149,64,205,34,128
chr2:17000-17250,16,81,71,53,67,36
chr2:17500-17750,54,75,43,65,99,61
chr2:18000-18250,32,71,49,25,30,73
chr2:18500-18750,45,64,60,70,75,100
chr2:19000-19250,70,98,48,70,36,67
chr2:19500-19750,75,99,70,70,50,77
chr2:20000-20250,56,91,63,68,47,68
chr2:20500-20750,126,72,52,73,121,44
chr2:21000-21250,123,146,56,75,83,86
chr2:21500-21750,103,116,156,164,36,136
chr2:22000-22250,107,88,131,68,157,55
chr2:22500-22750,29,62,34,41,22,54
chr2:23000-23250,34,58,71,34,53,53
chr2:23500-23750,39,66,79,36,35,59
chr2:24000-24250,77,82,60,73,34,84
chr2:24500-24750,117,29,101,70,50,52
chr2:25000-25250,35,120,33,63,113,121
chr2:25500-25750,72,70,135,41,103,89
chr2:26000-26250,107,72,68,42,25,65
chr2:26500-26750,217,51,42,86,146,129
chr2:27000-27250,75,59,124,37,178,48
chr2:27500-27750,38,118,60,87,120,81
chr2:28000-28250,83,235,127,84,127,102
chr2:28500-28750,11,81,43,40,42,59
chr2:29000-29250,94,36,42,40,47,57
chr2:29500-29750,33,103,96,62,54,64
chr2:30000-30250,40,83,109,102,27,77
chr2:30500-30750,59,69,105,98,40,45
